id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
1025,New Customer 1025,Hyderabad,9590886206,newcustomer1025@example.com,New Company,1995-01-01,2026-01-02,Female,74430.0,30041,25909.0,8722.0
191,Меркушев Епифан Гордеевич,"д. Ухта, наб. Коминтерна, д. 2, 704460 - Updated",8 (108) 454-83-62,arseni_24@rambler.ru,"г. Мирный, наб. Петровская, д. 7, 828974 - New",1980-02-22,2013-11-23,M,184225.8,98733,1.0,1.0
1047,New Customer 1047,Hyderabad,9275174836,newcustomer1047@example.com,New Company,1995-01-01,2026-01-02,Male,49696.0,46343,54459.0,42183.0
1050,New Customer 1050,Hyderabad,9548012387,newcustomer1050@example.com,New Company,1995-01-01,2026-01-02,Female,60402.0,28296,69453.0,29427.0
354,Наумов Корнил Евсеевич,"клх Уренгой, алл. Набережная, д. 4/1 к. 4, 584075 - Updated",8 432 051 00 76,grigori1998@rambler.ru,"клх Кудымкар, наб. Красноармейская, д. 6 к. 4/3, 502576 - New",1996-11-15,2016-06-02,M,237531.8,97542,1.0,
138,Николаева Феврония Натановна,"клх Дагомыс, пр. Луговой, д. 83, 351488 - Updated",8 350 804 5911,jaroslav43@yandex.ru,"д. Нижнекамск, ш. Смирнова, д. 90 к. 4/1, 295097 - New",1971-07-07,2019-10-02,F,,67264,,
1023,New Customer 1023,Hyderabad,9679478607,newcustomer1023@example.com,New Company,1995-01-01,2026-01-02,Male,83549.0,16450,62129.0,40223.0
1035,New Customer 1035,Hyderabad,9349083724,newcustomer1035@example.com,New Company,1995-01-01,2026-01-02,Female,60570.0,22060,66457.0,26307.0
976,Виноградов Ким Герасимович,"к. Ишим, алл. Кавказская, д. 93 стр. 6/1, 351689 - Updated",+7 (267) 603-05-90,rostislav55@yahoo.com,"г. Домодедово, пер. Ворошилова, д. 5/9 к. 1, 700218 - New",2002-10-15,2017-02-10,M,249300.7,62501,1.0,
393,Александра Александровна Шарова,"клх Псков, ул. Лермонтова, д. 887 к. 1, 380813 - Updated",+7 (278) 572-19-77,zhdanovkondrati@gmail.com,"к. Сосновый Бор, ш. Большое, д. 185 стр. 3, 483369 - New",1995-01-16,2015-11-16,F,,84314,,1.0
600,Евфросиния Тарасовна Денисова,"г. Торжок, ул. Красноармейская, д. 15, 112640 - Updated",+7 (308) 887-9563,eliseevandre@mail.ru,"клх Урюпинск, ул. Павлова, д. 3/5, 705400 - New",1993-08-13,2019-01-15,F,199430.0,81443,1.0,
1043,New Customer 1043,Hyderabad,9903809008,newcustomer1043@example.com,New Company,1995-01-01,2026-01-02,Female,46375.0,14720,47422.0,24751.0
436,Бажен Архипович Исаев,"клх Валдай, ш. Ленина, д. 581, 035190 - Updated",8 778 622 2750,naum_14@mail.ru,"п. Агата, бул. Заозерный, д. 114 стр. 5, 043073 - New",1964-01-02,2012-08-09,M,,83527,,
1028,New Customer 1028,Hyderabad,9304514849,newcustomer1028@example.com,New Company,1995-01-01,2026-01-02,Male,36339.0,29893,11757.0,35200.0
173,Кулагина Антонина Афанасьевна,"к. Сковородино, пр. Смирнова, д. 8, 609608 - Updated",8 (647) 731-73-04,kselezneva@hotmail.com,"с. Санкт-Петербург, ул. Тургенева, д. 157 стр. 4/1, 019903 - New",2001-06-21,2016-07-25,F,300268.1,84813,1.0,
996,Исаев Ладислав Ефстафьевич,"п. Южно-Курильск, алл. Кутузова, д. 520 стр. 6/4, 380570 - Updated",+7 245 526 0386,samuil19@yahoo.com,"к. Горячинск, ул. Заливная, д. 6/1 стр. 858, 720971 - New",1975-06-30,2018-10-29,M,,79775,,1.0
461,Пахомов Фома Адамович,"д. Сосногорск, алл. Лунная, д. 62 стр. 156, 386606 - Updated",+7 (558) 137-5860,pzuev@gmail.com,"д. Апшеронск, пр. Звездный, д. 31 стр. 3, 157625 - New",1999-04-27,2012-01-26,M,276628.0,93747,1.0,1.0
1029,New Customer 1029,Hyderabad,9182922322,newcustomer1029@example.com,New Company,1995-01-01,2026-01-02,Female,69144.0,37852,78266.0,27081.0
1010,New Customer 1010,Hyderabad,9762177132,newcustomer1010@example.com,New Company,1995-01-01,2026-01-02,Male,65392.0,26718,76322.0,49535.0
1039,New Customer 1039,Hyderabad,9419073370,newcustomer1039@example.com,New Company,1995-01-01,2026-01-02,Male,58597.0,24472,68486.0,19920.0
1019,New Customer 1019,Hyderabad,9433718221,newcustomer1019@example.com,New Company,1995-01-01,2026-01-02,Male,62976.0,38894,28212.0,48135.0
624,Самсонов Филимон Анатольевич,"г. Псебай, наб. Пожарского, д. 2/2, 574892 - Updated",+7 (239) 035-5166,raisa_31@yandex.ru,"г. Магадан, ул. Тукая, д. 4, 687418 - New",1995-05-08,2012-10-26,M,230049.6,87691,1.0,1.0
1009,New Customer 1009,Hyderabad,9978060115,newcustomer1009@example.com,New Company,1995-01-01,2026-01-02,Female,62124.0,26255,50442.0,46630.0
1036,New Customer 1036,Hyderabad,9668497958,newcustomer1036@example.com,New Company,1995-01-01,2026-01-02,Male,98791.0,37348,22620.0,41341.0
202,Стрелков Флорентин Изотович,"ст. Шамары, алл. Короленко, д. 506, 254165 - Updated",82501080535,kirillovprokl@rambler.ru,"г. Набережные Челны, бул. Глинки, д. 19, 641476 - New",1974-06-25,2015-03-24,M,,90545,,
172,тов. Сидорова Агата Ильинична,"ст. Темрюк, пр. Кольцевой, д. 87 стр. 572, 179340 - Updated",8 (299) 833-6987,ershovstanislav@rambler.ru,"клх Губкин, бул. Маркса Карла, д. 9 к. 1, 630584 - New",1982-11-04,2015-12-14,F,243185.8,75781,1.0,
1017,New Customer 1017,Hyderabad,9505347343,newcustomer1017@example.com,New Company,1995-01-01,2026-01-02,Male,76788.0,13601,51019.0,6026.0
1032,New Customer 1032,Hyderabad,9157435530,newcustomer1032@example.com,New Company,1995-01-01,2026-01-02,Male,72198.0,16648,69696.0,12245.0
475,София Даниловна Галкина,"г. Пенза, наб. 50 лет Октября, д. 7 к. 4, 551824 - Updated",+7 (263) 033-3732,fadeevaklavdija@yandex.ru,"г. Старая Русса, алл. Лермонтова, д. 55, 690194 - New",1970-01-02,2017-03-16,F,135085.5,90660,1.0,1.0
1022,New Customer 1022,Hyderabad,9803410709,newcustomer1022@example.com,New Company,1995-01-01,2026-01-02,Male,35543.0,38682,82779.0,26019.0
230,Филатова Тамара Никифоровна,"п. Нарьян-Мар, алл. Бабушкина, д. 1/5, 087377 - Updated",8 446 537 8164,lavrentevirakli@hotmail.com,"с. Черняховск, бул. Белорусский, д. 2 к. 3, 138928 - New",1981-10-18,2018-10-09,F,325072.0,78779,1.0,
1021,New Customer 1021,Hyderabad,9934088488,newcustomer1021@example.com,New Company,1995-01-01,2026-01-02,Male,69566.0,28475,37536.0,26703.0
341,Никонова Евгения Кирилловна,"с. Губаха, пр. Большой, д. 5/1 к. 435, 078423 - Updated",8 426 728 74 82,anike2011@mail.ru,"ст. Плесецк, бул. Клубный, д. 9, 703034 - New",1966-04-12,2013-07-01,F,,96153,,1.0
571,Викентий Евстигнеевич Овчинников,"ст. Ноябрьск, бул. Крестьянский, д. 1/9 стр. 1/9, 366649 - Updated",+7 (733) 303-12-36,demjan_42@gmail.com,"ст. Мостовской, ш. Совхозное, д. 3 к. 3/2, 436808 - New",1971-10-04,2019-12-22,M,187288.2,93349,1.0,
986,Татьяна Филипповна Зыкова,"к. Белгород, пер. Победа, д. 1, 760513 - Updated",+7 (531) 113-9477,klobanova@mail.ru,"с. Гатчина, ш. Сурикова, д. 97 стр. 71, 564860 - New",1961-05-10,2019-10-30,F,,83258,,
713,Архип Елисеевич Журавлев,"ст. Оленек, бул. Азовский, д. 4 стр. 45, 631803 - Updated",+7 (216) 897-7051,uvarovaagafja@gmail.com,"с. Челябинск, пр. 30 лет Победы, д. 452 к. 850, 485369 - New",2001-10-23,2018-03-19,M,,82306,,1.0
417,Калинин Рюрик Денисович,"г. Переславль-Залесский, алл. 9 мая, д. 827 к. 40, 588211 - Updated",80416313937,angelina_76@rambler.ru,"к. Бреды, алл. Короленко, д. 39 стр. 9/2, 800590 - New",1973-11-22,2017-10-06,M,,82552,,1.0
1031,New Customer 1031,Hyderabad,9899100857,newcustomer1031@example.com,New Company,1995-01-01,2026-01-02,Female,51276.0,27846,74751.0,47202.0
