id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
1097,New Customer 1097,Hyderabad,9902509538,newcustomer1097@example.com,New Company,1995-01-01,2026-01-03,Male,74378.0,19913,88750.0,28140.0
1079,New Customer 1079,Hyderabad,9282464481,newcustomer1079@example.com,New Company,1995-01-01,2026-01-03,Male,57830.0,34240,11903.0,42960.0
1077,New Customer 1077,Hyderabad,9827426323,newcustomer1077@example.com,New Company,1995-01-01,2026-01-03,Female,94929.0,31230,20394.0,9460.0
1087,New Customer 1087,Hyderabad,9942439211,newcustomer1087@example.com,New Company,1995-01-01,2026-01-03,Male,96893.0,24967,63202.0,40076.0
1070,New Customer 1070,Hyderabad,9133671300,newcustomer1070@example.com,New Company,1995-01-01,2026-01-03,Male,35907.0,21517,63870.0,9199.0
1089,New Customer 1089,Hyderabad,9248147035,newcustomer1089@example.com,New Company,1995-01-01,2026-01-03,Male,50051.0,27035,71264.0,33911.0
1064,New Customer 1064,Hyderabad,9196966851,newcustomer1064@example.com,New Company,1995-01-01,2026-01-03,Female,59192.0,35372,38685.0,5318.0
7,Кириллова Акулина Вениаминовна,"ст. Черкесск, алл. Волжская, д. 6/1, 314524 - Updated",+71375862125,pavel_1976@yandex.ru,"с. Курильск, алл. Приозерная, д. 560 стр. 1, 195131 - New",1983-08-19,2013-07-17,F,295832.9,82437,1.0,
975,Ермакова Таисия Сергеевна,"к. Боровск, пер. Веселый, д. 8, 867894 - Updated",+7 (526) 261-4523,maslovdanila@rambler.ru,"д. Юрьевец (Иван.), ул. Ясная, д. 58, 643429 - New",1962-01-17,2015-11-02,F,254138.5,88175,1.0,1.0
437,Фёкла Леонидовна Миронова,"п. Томари, бул. Зои Космодемьянской, д. 7 к. 48, 601880 - Updated",+71007348309,ipat80@mail.ru,"д. Партизанск, ш. Индустриальное, д. 677 к. 3/7, 288190 - New",1998-05-06,2013-08-05,F,,73826,,1.0
1066,New Customer 1066,Hyderabad,9924410659,newcustomer1066@example.com,New Company,1995-01-01,2026-01-03,Female,90502.0,43879,93102.0,46661.0
1051,New Customer 1051,Hyderabad,9598632528,newcustomer1051@example.com,New Company,1995-01-01,2026-01-03,Female,46075.0,15613,77141.0,6956.0
1067,New Customer 1067,Hyderabad,9977639786,newcustomer1067@example.com,New Company,1995-01-01,2026-01-03,Female,86288.0,10713,22948.0,28568.0
1068,New Customer 1068,Hyderabad,9307192591,newcustomer1068@example.com,New Company,1995-01-01,2026-01-03,Male,31757.0,36542,92374.0,45209.0
795,Степан Филатович Воронов,"ст. Петропавловск-Камчатский, алл. Дорожная, д. 45 к. 3/6, 065016 - Updated",+7 (117) 958-0587,avgust_1985@rambler.ru,"ст. Люберцы, пер. Школьный, д. 437 к. 9, 848653 - New",1963-04-03,2019-11-04,M,178552.0,84115,1.0,
140,Акулина Ефимовна Куликова,"с. Кинешма, наб. Угольная, д. 210, 870610 - Updated",8 (733) 858-1881,evdokija2008@yandex.ru,"г. Пенза, пр. Проточный, д. 10, 218653 - New",2002-06-21,2015-09-22,F,,72714,,1.0
1060,New Customer 1060,Hyderabad,9754295151,newcustomer1060@example.com,New Company,1995-01-01,2026-01-03,Male,94925.0,39533,42207.0,47697.0
859,Эммануил Феодосьевич Михайлов,"г. Миллерово, бул. Грибоедова, д. 5, 960662 - Updated",8 241 079 0836,kalininafaina@mail.ru,"ст. Двинской, пр. Дружбы, д. 23 к. 2/1, 938215 - New",1994-05-19,2013-08-04,M,264017.6,73388,1.0,
939,Красильников Аристарх Евстигнеевич,"с. Кырен, наб. Крылова, д. 2, 730777 - Updated",8 050 825 8390,stepan_2005@gmail.com,"к. Троицко-Печорск, пр. Чайкиной, д. 170, 686663 - New",1994-06-30,2015-07-30,M,,89936,,1.0
995,Иванов Поликарп Фадеевич,"д. Ясный (Оренб.), пер. Чайкиной, д. 649, 811353 - Updated",+7 (743) 459-2989,julija85@rambler.ru,"ст. Невельск, алл. Театральная, д. 209 стр. 5/3, 741103 - New",1981-08-26,2012-05-19,M,265127.5,63641,1.0,1.0
1073,New Customer 1073,Hyderabad,9592122955,newcustomer1073@example.com,New Company,1995-01-01,2026-01-03,Male,39174.0,41872,35624.0,7338.0
1071,New Customer 1071,Hyderabad,9227135932,newcustomer1071@example.com,New Company,1995-01-01,2026-01-03,Female,81728.0,43177,24897.0,42505.0
1082,New Customer 1082,Hyderabad,9361826053,newcustomer1082@example.com,New Company,1995-01-01,2026-01-03,Male,39255.0,40134,27533.0,15794.0
63,Зосима Ефимьевич Марков,"ст. Сосногорск, пер. Коммунаров, д. 2 стр. 3/1, 619361 - Updated",+7 466 795 48 30,kim1984@mail.ru,"с. Ковров, ул. Пушкина, д. 9, 092130 - New",1980-01-06,2014-09-24,M,307766.8,107149,1.0,1.0
1063,New Customer 1063,Hyderabad,9388611497,newcustomer1063@example.com,New Company,1995-01-01,2026-01-03,Male,70678.0,28695,84219.0,7216.0
588,Сорокина Агата Натановна,"г. Ковров, пр. Короткий, д. 2/3, 599819 - Updated",8 (800) 791-10-42,rodionovamvrosi@rambler.ru,"клх Буйнакск, наб. Почтовая, д. 44, 749650 - New",1985-08-21,2015-04-25,F,,70166,,
1100,New Customer 1100,Hyderabad,9861078434,newcustomer1100@example.com,New Company,1995-01-01,2026-01-03,Male,80632.0,49783,58286.0,42516.0
1075,New Customer 1075,Hyderabad,9846810767,newcustomer1075@example.com,New Company,1995-01-01,2026-01-03,Male,38662.0,19305,23825.0,46617.0
968,Алевтина Харитоновна Медведева,"д. Новороссийск, алл. Ульяновская, д. 9 к. 8, 461661 - Updated",81643700547,foti_1976@gmail.com,"ст. Тихвин, пер. Ушакова, д. 6/2 к. 5/7, 159540 - New",1977-08-11,2016-12-30,F,285161.8,79354,1.0,
679,Синклитикия Анатольевна Емельянова,"ст. Коломна, пр. Кочубея, д. 88, 768784 - Updated",+7 935 640 50 01,bazhen1971@yahoo.com,"клх Колпашево, наб. Лазо, д. 99 стр. 91, 168722 - New",1980-04-19,2013-03-16,F,213656.3,66404,1.0,
1085,New Customer 1085,Hyderabad,9914978969,newcustomer1085@example.com,New Company,1995-01-01,2026-01-03,Female,76400.0,26502,14804.0,41091.0
870,Белозеров Аристарх Исидорович,"г. Череповец, алл. Харьковская, д. 7/1 стр. 7, 658926 - Updated",8 939 968 6861,polikarp_1981@mail.ru,"п. Рубцовск, наб. Садовая, д. 6/5 к. 659, 973630 - New",1990-06-01,2017-07-11,M,,76178,,
148,Меркушева Марфа Архиповна,"ст. Ржев, пр. Гайдара, д. 94, 702283 - Updated",+7 861 570 7842,prov1989@rambler.ru,"к. Луховицы, ш. Мелиоративное, д. 2 к. 3/1, 341068 - New",1988-03-28,2014-01-02,F,,75977,,
303,Вадим Анисимович Лапин,"клх Усть-Калманка, наб. Тополиная, д. 3 к. 4, 865395 - Updated",+7 (863) 857-20-41,semenbespalov@rambler.ru,"клх Бавлы, ул. Красных Партизан, д. 54 к. 9, 873955 - New",1991-09-17,2013-04-29,M,,87886,,
1098,New Customer 1098,Hyderabad,9181835942,newcustomer1098@example.com,New Company,1995-01-01,2026-01-03,Female,88855.0,20747,81338.0,48514.0
83,Кудрявцев Спартак Фокич,"клх Междуреченский, пр. Культуры, д. 40 стр. 81, 978282 - Updated",89753396465,lev_1972@mail.ru,"клх Якутск, ул. Рязанская, д. 84 к. 3, 503293 - New",1988-05-12,2018-09-25,M,,86280,,
1065,New Customer 1065,Hyderabad,9653178544,newcustomer1065@example.com,New Company,1995-01-01,2026-01-03,Male,43984.0,41390,37930.0,21812.0
1091,New Customer 1091,Hyderabad,9140419557,newcustomer1091@example.com,New Company,1995-01-01,2026-01-03,Female,94736.0,36077,45426.0,40054.0
1072,New Customer 1072,Hyderabad,9599367221,newcustomer1072@example.com,New Company,1995-01-01,2026-01-03,Female,87816.0,20020,24027.0,9803.0
632,Людмила Геннадьевна Павлова,"с. Южноуральск, бул. Леонова, д. 98 к. 13, 425869 - Updated",+7 (850) 559-81-61,zshcherbakov@mail.ru,"ст. Раменское, ш. Космодемьянской, д. 7, 474628 - New",1993-02-26,2017-08-18,F,,75941,,1.0
342,Дорофеев Петр Чеславович,"г. Неплюевка, ул. Космодемьянской, д. 7 стр. 72, 142372 - Updated",8 888 663 9407,loginovbazhen@hotmail.com,"ст. Талдом, пр. Боровой, д. 60 стр. 9, 004288 - New",1983-07-09,2016-01-02,M,,117048,,1.0
119,Феврония Антоновна Третьякова,"д. Нарым, ш. Совхозное, д. 3/7, 701610 - Updated",8 (559) 991-71-14,irakli1983@yandex.ru,"г. Корсаков, алл. Подстанция, д. 82, 583112 - New",1981-03-27,2017-05-19,F,,104504,,
